Date,Open,High,Low,Close
13/9/2023,1591.824463,1610.999512,1582.25293,1603.912231
14/9/2023,1603.907715,1631.853271,1603.508179,1622.637085
15/9/2023,1622.627075,1644.069824,1615.400513,1640.186646
16/9/2023,1639.874878,1644.790039,1632.07251,1635.10144
17/9/2023,1635.043457,1635.648804,1617.660767,1621.792603
18/9/2023,1621.677002,1660.476074,1614.227295,1635.220459
19/9/2023,1635.3302,1654.778809,1631.418823,1648.742065
20/9/2023,1648.730713,1654.303467,1615.519531,1624.226563
21/9/2023,1627.200562,1628.220215,1585.005737,1591.665527
22/9/2023,1591.637329,1606.783569,1589.055664,1597.58374
23/9/2023,1597.702026,1600.291748,1588.016846,1594.636108
24/9/2023,1594.743286,1600.55188,1579.544922,1581.478149
25/9/2023,1581.358032,1592.573853,1569.920532,1587.629028
26/9/2023,1587.469604,1593.394775,1582.646851,1591.24939
27/9/2023,1591.151123,1623.430786,1586.97644,1597.856079
28/9/2023,1597.974487,1655.860107,1597.744019,1647.446777
29/9/2023,1647.395508,1676.79834,1644.938965,1666.048584
30/9/2023,1666.496582,1685.235596,1665.514648,1674.551758
1/10/2023,1674.236206,1735.14624,1673.582153,1733.534424
2/10/2023,1733.419312,1734.622437,1650.427979,1664.808105
3/10/2023,1664.974121,1668.86499,1649.135132,1656.064087
4/10/2023,1656.157227,1656.187988,1634.582886,1645.830566
5/10/2023,1645.881714,1652.012451,1613.335327,1613.358765
6/10/2023,1613.109131,1651.028809,1613.109131,1644.460327
7/10/2023,1644.433594,1648.419678,1635.493652,1637.631714
8/10/2023,1637.743164,1642.000488,1622.919067,1633.647583
9/10/2023,1633.651123,1635.087036,1562.681885,1578.049194
10/10/2023,1578.128906,1592.447632,1558.358643,1572.80896
11/10/2023,1572.758057,1577.472656,1555.064331,1564.764038
12/10/2023,1564.59668,1565.986816,1524.058472,1535.459717
13/10/2023,1535.578735,1561.378418,1527.270386,1550.158081
14/10/2023,1550.299683,1557.396851,1546.859741,1553.911377
15/10/2023,1553.908691,1563.313599,1550.376343,1558.401978
16/10/2023,1558.498779,1613.286987,1557.379028,1597.404419
17/10/2023,1597.329102,1597.482544,1558.887573,1566.69397
18/10/2023,1566.710571,1580.411865,1559.860352,1564.764404
19/10/2023,1565.12439,1570.617554,1548.566528,1567.143799
20/10/2023,1567.188477,1621.239624,1563.402954,1601.821167
21/10/2023,1601.727905,1633.880615,1595.657715,1630.875732
22/10/2023,1630.821899,1661.415894,1623.765625,1659.400513
23/10/2023,1670.41394,1770.49292,1667.700928,1759.348389
24/10/2023,1757.982544,1837.860596,1754.495239,1786.214233
25/10/2023,1786.652588,1806.590332,1759.905396,1785.619995
26/10/2023,1785.627563,1852.628662,1773.463013,1801.263428
27/10/2023,1801.336426,1801.336426,1753.144043,1772.941895
28/10/2023,1772.947998,1789.910278,1771.536743,1774.293457
29/10/2023,1774.359131,1805.378662,1766.105591,1792.406616
30/10/2023,1792.155029,1820.602783,1781.644775,1806.022827
31/10/2023,1805.853882,1813.081421,1786.21106,1806.419434
1/11/2023,1806.342163,1842.081055,1784.392578,1838.17334
2/11/2023,1838.117798,1861.202393,1794.217285,1800.443604
3/11/2023,1800.324829,1827.663574,1781.882202,1826.409058
4/11/2023,1826.361084,1857.01355,1820.765137,1849.971313
5/11/2023,1850.057251,1899.260986,1845.102051,1887.829102
6/11/2023,1887.742432,1903.534058,1870.42041,1892.408691
7/11/2023,1892.254395,1895.305542,1851.141357,1876.69751
8/11/2023,1876.701294,1894.485718,1866.743408,1884.720093
9/11/2023,1884.24292,2111.492432,1880.661865,2108.234619
10/11/2023,2107.503418,2115.545898,2060.446777,2076.209961
11/11/2023,2075.894775,2080.636719,2037.014282,2048.664063
12/11/2023,2049.078857,2060.954346,2026.878662,2043.139282
13/11/2023,2043.692139,2100.022949,2033.572632,2050.70166
14/11/2023,2049.720215,2053.370117,1959.680908,1980.236816
15/11/2023,1980.474976,2052.436523,1972.171143,2051.968262
16/11/2023,2051.651367,2072.16333,1947.817749,1958.514648
17/11/2023,1958.395142,1983.196533,1909.660156,1949.702271
18/11/2023,1950.362915,1962.146362,1921.952881,1957.197021
19/11/2023,1957.375,2001.202515,1941.286621,2000.017822
20/11/2023,2000.001465,2049.462891,1987.254883,2020.897827
21/11/2023,2020.680054,2032.153564,1944.662109,1944.662109
22/11/2023,1943.807251,2076.311523,1941.559082,2061.879395
23/11/2023,2061.733398,2079.748535,2038.683105,2054.02124
24/11/2023,2053.968506,2114.404541,2053.134766,2079.364502
25/11/2023,2079.283203,2087.117432,2061.976807,2076.108154
26/11/2023,2076.291016,2085.279785,2039.896729,2058.109863
27/11/2023,2057.882324,2067.173096,1997.876465,2021.337646
28/11/2023,2021.309692,2061.105713,1997.309326,2044.804077
29/11/2023,2044.627197,2069.847168,2020.799316,2027.640869
30/11/2023,2027.725952,2046.032104,2023.683838,2045.6521
1/12/2023,2045.526855,2096.75415,2041.796997,2080.591797
2/12/2023,2080.428711,2165.037598,2080.428711,2158.363037
3/12/2023,2158.658691,2203.177979,2145.209229,2197.219727
4/12/2023,2197.330078,2255.523438,2196.618896,2236.026611
5/12/2023,2236.254395,2292.524414,2193.390381,2282.877441
6/12/2023,2282.530029,2297.239502,2226.375488,2227.767334
7/12/2023,2228.544189,2368.092285,2228.350098,2347.465332
8/12/2023,2347.961426,2375.262939,2338.857666,2348.76001
9/12/2023,2349.028076,2383.657227,2327.136963,2331.83252
10/12/2023,2331.801514,2362.075684,2326.212646,2341.303711
11/12/2023,2341.503418,2343.662354,2171.425537,2215.94751
12/12/2023,2215.789551,2230.530029,2168.751465,2193.415771
13/12/2023,2193.239502,2259.79126,2142.948975,2245.416748
14/12/2023,2245.016846,2312.976074,2235.510742,2305.857178
15/12/2023,2305.616943,2305.616943,2222.932617,2225.909668
16/12/2023,2225.872559,2252.773193,2219.410889,2222.689941
17/12/2023,2222.839844,2240.322754,2194.796875,2201.246338
18/12/2023,2200.602539,2219.00708,2132.572754,2214.62793
19/12/2023,2214.300293,2246.35498,2142.78125,2172.512939
20/12/2023,2172.311035,2255.323242,2161.236816,2187.778809
21/12/2023,2188.380127,2253.269287,2178.404785,2231.699219
22/12/2023,2231.707764,2328.020508,2227.330566,2318.610596
23/12/2023,2318.532959,2321.434082,2262.683105,2290.047363
24/12/2023,2290.142578,2304.04126,2250.648438,2264.356934
25/12/2023,2264.166016,2285.975586,2251.139648,2260.562256
26/12/2023,2260.983154,2267.905029,2199.12207,2216.871338
27/12/2023,2217.200928,2373.655762,2212.043701,2363.55835
28/12/2023,2363.809814,2427.7771,2348.620117,2355.552734
29/12/2023,2355.422607,2373.362305,2286.276855,2305.592773
30/12/2023,2306.138916,2314.288086,2281.505127,2292.934814
31/12/2023,2292.611084,2307.990234,2273.696289,2280.126465
1/1/2024,2280.810547,2340.830322,2271.827637,2340.830322
2/1/2024,2340.603516,2404.449707,2339.390381,2357.477051
3/1/2024,2357.525146,2377.686768,2154.508545,2215.625
4/1/2024,2215.713623,2280.600098,2208.855469,2262.046875
5/1/2024,2261.441895,2266.594727,2214.059326,2254.774414
6/1/2024,2255.154053,2258.097168,2216.657959,2228.182373
